Description,Stop ID,Longitude,Latitude,Routes,Municipality,Nearest Intersection,Bikerack,Bench,Shelter,Info Booth,Signpost,Discontinued,Location
19th St & 12th Ave,3762,-73.71252,42.73329,370,Watervliet,UNKNOWN,No,No,No,No,Yes,No,"(42.73329, -73.71252)"
Cherry Ave & Oak Rd,1278,-73.855293,42.623913,"18, 519",Bethlehem,ORCHARD STREET,No,No,No,No,Yes,No,"(42.623913, -73.855293)"
5th Ave & 101st St,4362,-73.6813,42.75383,85,Troy,101ST STREET,Yes,No,Yes,No,Yes,No,"(42.75383, -73.6813)"
Van Rensselaer Blvd & Hendrick Ave,2953,-73.742288,42.682092,182,Colonie,UNKNOWN,No,No,No,No,Yes,No,"(42.682092, -73.742288)"
Union St & Park Ave,1517,-73.925711,42.812612,"370, 810",Schenectady,PARK AVENUE,No,No,No,No,Yes,No,"(42.812612, -73.925711)"
290 Rt 50 (Price Chopper Plaza),2324,-73.930262,42.873707,450,Glenville,UNKNOWN,No,No,No,No,Yes,No,"(42.873707, -73.930262)"
Sacandaga Rd & Mohawk Ave,1704,-73.966865,42.827574,"353, 873",Glenville,MOHAWK AVENUE,No,No,No,No,Yes,No,"(42.827574, -73.966865)"
Rosa Rd & Athol Rd,12438,-73.9165,42.82114,352,Schenectady,ATHOL ROAD,No,No,No,No,Yes,No,"(42.82114, -73.9165)"
Saratoga Rd @ Hot Dog Charlies,11037,-73.700802,42.752122,182,Cohoes,UNKNOWN,No,No,No,No,Yes,No,"(42.752122, -73.700802)"
Sand Creek Rd & Ramundo Dr,10570,-73.80726,42.7122,125,Colonie,UNKNOWN,No,No,No,No,Yes,No,"(42.7122, -73.80726)"
Market St & Storrie St,13303,,,601,Amsterdam,STORRIE STREET,No,No,No,No,Yes,No,
TSP 16th ST @ Second Ave NB CO,5372,-73.70174663,42.72814018,"922, 923",Watervliet,UNKNOWN,No,No,No,No,No,No,"(42.72814018, -73.70174663)"
Columbia Tpke & Grove St,2246,-73.731041,42.616224,233,East Greenbush,ORCHARD STREET,No,No,No,No,Yes,No,"(42.616224, -73.731041)"
Columbia Tpke & Gilligan Rd,10165,-73.70719,42.59635,233,East Greenbush,GILLIGAN ROAD,No,No,No,No,Yes,No,"(42.59635, -73.70719)"
Cottage St & Marvin Ave,845,-73.69609,42.69905,"85, 802",Troy,UNKNOWN,No,No,No,No,Yes,No,"(42.69905, -73.69609)"
Central Ave & Rapple Rd,2365,-73.844136,42.727359,355,Colonie,RAPPLE DRIVE,No,No,No,No,Yes,No,"(42.727359, -73.844136)"
Pawling Ave & Terrace Pl,4427,-73.670175,42.716934,"286, 289, 802",Troy,HAWTHORNE AVENUE,No,No,No,No,Yes,No,"(42.716934, -73.670175)"
New Scotland Rd & Southwood Dr,520,-73.87211,42.62767,"519, 872",Unknown,SOUTHWOOD DRIVE,No,No,No,No,Yes,No,"(42.62767, -73.87211)"
Washington Ave & Hawthorne St,2182,-73.79581,42.67547,"12, 114, 801, 803",Albany,CROSWELL AVENUE,No,No,No,No,Yes,No,"(42.67547, -73.79581)"
TSP South Pearl @ Beaver St SB CO,5276,-73.75361693,42.64867515,"922, 923",Albany,BEAVER STREET,No,No,No,No,No,No,"(42.64867515, -73.75361693)"
Central Ave & Osborne Rd,3488,-73.80202,42.69038,"1, 807",Colonie,OSBORNE ROAD,No,Yes,Yes,No,Yes,No,"(42.69038, -73.80202)"
19th St & 6th Ave,2897,-73.70555,42.73125,370,Watervliet,6TH AVENUE,No,No,No,No,Yes,No,"(42.73125, -73.70555)"
Columbia St & Eddy Ford Nursing Home,4016,-73.72319,42.77281,182,Cohoes,PASINELLA WAY,No,No,No,No,Yes,No,"(42.77281, -73.72319)"
TSP South Pearl @ Hamilton St / Market NB CI,5325,-73.75468682,42.64594462,"922, 923",Albany,MADISON AVENUE,No,No,No,No,No,No,"(42.64594462, -73.75468682)"
TSP North Pearl @ Orange St NB CO,5336,-73.75009891,42.65366626,"922, 923",Albany,CLINTON AVENUE,No,No,No,No,No,No,"(42.65366626, -73.75009891)"
Southern Blvd & Leighton St,17,-73.78259,42.63656,"801, 805",Albany,MC ALPIN STREET,No,No,No,No,Yes,No,"(42.63656, -73.78259)"
New Scotland Ave & Madison Ave,11602,-73.77213,42.65483,13,Albany,MADISON AVENUE,Yes,No,No,No,Yes,No,"(42.65483, -73.77213)"
Central Ave & Rutland Ave (Colonie Terrace Apts),10258,-73.86378,42.74453,355,Colonie,UNKNOWN,No,Yes,Yes,No,Yes,No,"(42.74453, -73.86378)"
Nurses Middle College,16006,,,,Rensselaer,FORBES AVENUE,No,No,No,No,No,No,
5th St & Sacandaga Rd,3565,-73.96873,42.83147,353,Glenville,ROOT AVENUE,No,No,No,No,Yes,No,"(42.83147, -73.96873)"
Sand Creek Rd & Campagna Dr,10562,-73.797815,42.702988,125,Colonie,UNKNOWN,No,No,No,No,Yes,No,"(42.702988, -73.797815)"
TSP Clinton Ave @ Broadway SB CI,5265,-73.74867604,42.65601882,"922, 923",Albany,UNKNOWN,No,No,No,No,No,No,"(42.65601882, -73.74867604)"
Madison Ave & Dunham Ave,10068,-73.68004,42.71494,802,Troy,ONEIL STREET,No,No,No,No,No,No,"(42.71494, -73.68004)"
TSP Second Ave @ 125th St NB CO,5547,-73.67164754,42.78671091,923,Troy,125TH STREET,No,No,No,No,No,No,"(42.78671091, -73.67164754)"
Sand Creek Rd & Blurry Ave,1308,-73.78878,42.69497,125,Colonie,BLURRY AVENUE,No,No,No,No,Yes,No,"(42.69497, -73.78878)"
Whitehall Rd & S. Manning Blvd,1294,-73.81004,42.65042,"106, 801, 803",Albany,UNKNOWN,No,Yes,Yes,No,Yes,No,"(42.65042, -73.81004)"
Central Ave & Partridge St,143,-73.77686,42.66869,"1, 712, 806, 807",Albany,UNKNOWN,No,No,No,No,Yes,No,"(42.66869, -73.77686)"
Main Ave & Rt 150,10006,-73.63517,42.6939,286,North Greenbush,ORCHARD TERRACE,No,No,No,No,Yes,No,"(42.6939, -73.63517)"
195 Rt 2,3755,-73.73256,42.73869,370,Colonie,UNKNOWN,No,No,No,No,Yes,No,"(42.73869, -73.73256)"
Hoffman Station - Second Ave & Hoffman Ave,12961,,,"801, 803, 805, 872, 922",Albany,WEST VAN VECHTEN STREET,No,No,No,No,Yes,No,
Middleburgh St & 8th St,13054,,,802,Troy,7TH AVENUE,No,No,No,No,No,No,
105 Wolf Rd (Chipotle Mexican Grill),10507,-73.81015,42.71619,"117, 190",Colonie,UNKNOWN,No,No,No,No,Yes,No,"(42.71619, -73.81015)"
5th Ave & 111th St,4446,-73.67599,42.76903,85,Troy,111TH STREET,No,No,No,No,Yes,No,"(42.76903, -73.67599)"
Washington Ave & Quail St,1842,-73.77504,42.66367,12,Albany,QUAIL STREET,No,No,Yes,No,Yes,No,"(42.66367, -73.77504)"
Target Distribution Center,15593,,,601,Florida,STATE HIGHWAY 5S,No,No,No,No,Yes,No,
Rt 50 & Dollar General,11165,-73.902642,42.905061,450,Ballston,UNKNOWN,No,No,No,No,Yes,No,"(42.905061, -73.902642)"
New Loudon Rd & Siena College,1907,-73.755293,42.717763,182,Colonie,UNKNOWN,No,Yes,Yes,No,Yes,No,"(42.717763, -73.755293)"
4th St & 1st St,367,-73.69717,42.70852,"85, 224, 802",Troy,SAINT LUKES AVENUE,No,No,No,No,Yes,No,"(42.70852, -73.69717)"
Norwood Ave & Santa Fe St,13122,,,810,Schenectady,FOREST ROAD,No,No,No,No,No,No,
Osterlitz Ave & Austin Pl,13367,,,810,Schenectady,AUSTIN PLACE,No,No,No,No,Yes,No,
Colvin Ave & Anthony St,10353,-73.794469,42.679634,"712, 801",Albany,UNKNOWN,No,No,No,No,Yes,No,"(42.679634, -73.794469)"
Washington Ave & Michigan Ave,10763,-73.70602,42.65489,"214, 808",Rensselaer,WOODLAND AVENUE,No,No,No,No,Yes,No,"(42.65489, -73.70602)"
The Gade Farm,1658,-73.924721,42.709413,763,Guilderland,UNKNOWN,No,No,No,No,Yes,No,"(42.709413, -73.924721)"
3rd St & Garden Pl,11585,-73.733535,42.652053,"214, 808",Rensselaer,MACNAUGHTON AVENUE,No,No,No,No,Yes,No,"(42.652053, -73.733535)"
State St & McClellan St,3965,-73.92584,42.79986,355,Schenectady,MCCLELLAN STREET,No,No,Yes,No,Yes,No,"(42.79986, -73.92584)"
Arch St & James St,11090,-73.693742,42.746208,182,Green Island,JAMES STREET,No,No,No,No,Yes,No,"(42.746208, -73.693742)"
Steuben Station - State St & Steuben St,2656,-73.932063,42.80515,"355, 810, 812, 873, 905",Schenectady,STEUBEN STREET,No,Yes,Yes,No,Yes,No,"(42.80515, -73.932063)"
Excelsior Ave & East Ave,12224,-73.77271,43.09,"450, 452",Saratoga Springs,EAST AVENUE,No,No,No,No,Yes,No,"(43.09, -73.77271)"
State St & Swan St,2452,-73.92949,42.80304,"355, 810",Schenectady,UNKNOWN,No,No,No,No,Yes,No,"(42.80304, -73.92949)"
Troy Towers,12629,,,"802, 815",Troy,6TH AVENUE,No,No,No,No,No,No,
S. Main Ave & Hackett Blvd,13390,,,"801, 806",Albany,UNKNOWN,No,No,No,No,No,No,
Pawling Ave & Parkview Ct,4370,-73.66125,42.70634,"286, 802",Troy,MUNRO COURT,No,No,No,No,Yes,No,"(42.70634, -73.66125)"
243 Delaware Ave (Found My Fitness),11432,-73.81973,42.62703,"18, 872",Bethlehem,UNKNOWN,No,No,No,No,Yes,No,"(42.62703, -73.81973)"
13 AIirline Drive (ITT Tecnhical Institute),12573,-73.819587,42.735797,155,Colonie,UNKNOWN,No,No,No,No,Yes,No,"(42.735797, -73.819587)"
Washington Ave & Woodland Ave,10773,-73.7059,42.65494,"214, 808",Rensselaer,WOODLAND AVENUE,No,No,No,No,Yes,No,"(42.65494, -73.7059)"
Sherman Ave & Sheridan Ave,13080,,,802,Troy,SHERIDAN AVENUE,No,No,No,No,No,No,
Carman Rd &  E. Old State Rd,1613,-73.93606,42.72436,763,Guilderland,LIBERTY COURT,No,No,No,No,Yes,No,"(42.72436, -73.93606)"
124th St Station - 2nd Ave & 124th Street,4274,-73.67227,42.785313,923,Troy,UNKNOWN,No,No,No,Yes,Yes,No,"(42.785313, -73.67227)"
Rt 50 & Vly Rd,2700,-73.96069,42.8278,450,Glenville,CATHERINE STREET,No,No,No,No,Yes,No,"(42.8278, -73.96069)"
Midway Stop #1 & Project St,4485,-73.67554,42.7106,"289, 802",Troy,GRISWOLD HEIGHTS,No,No,No,No,Yes,No,"(42.7106, -73.67554)"
Fuller Rd & Mercer St,12668,-73.834972,42.685659,"117, 190",Guilderland,PROVIDENCE STREET,No,No,No,No,Yes,No,"(42.685659, -73.834972)"
Lincoln Ave & Southeast St,12989,,,"451, 840",Saratoga Springs,REGENT STREET,No,No,No,No,Yes,No,
Lake Ave & East St,11507,-73.771366,43.084047,540,Saratoga Springs,UNKNOWN,No,No,No,No,Yes,No,"(43.084047, -73.771366)"
Pawling Ave & Hawthorne Ave,4349,-73.66988,42.71655,"286, 289, 802",Troy,HAWTHORNE AVENUE,No,No,No,No,Yes,No,"(42.71655, -73.66988)"
Van Vranken Ave & Hattie St,2414,-73.92632,42.8209,"351, 810, 998",Schenectady,HATTIE STREET,No,No,No,No,Yes,No,"(42.8209, -73.92632)"
Columbia Tpke & Old Miller Rd,10922,-73.69157,42.58038,233,Schodack,OLD MILLER ROAD,No,No,No,No,Yes,No,"(42.58038, -73.69157)"
Vliet Blvd & Francis St,11075,-73.72386,42.77913,522,Cohoes,DAVIS STREET,No,No,No,No,Yes,No,"(42.77913, -73.72386)"
4 Airline Drive,12642,-73.81758,42.738896,155,Colonie,UNKNOWN,No,No,No,No,Yes,No,"(42.738896, -73.81758)"
TSP Broad St @ 4th St SB CI,5181,-73.6804825,42.79088193,,Waterford,STEENBURG AVENUE,No,No,No,No,No,No,"(42.79088193, -73.6804825)"
Rt 7 & Mohawk Rd,2489,-73.849862,42.781102,"370, 873",Niskayuna,UNKNOWN,No,No,No,No,Yes,No,"(42.781102, -73.849862)"
Van Rensselaer Blvd & Amsterdam Ave,3189,-73.742662,42.680683,182,Colonie,WOLFERT AVENUE,No,No,No,No,Yes,No,"(42.680683, -73.742662)"
Rt 7 & Antonia Dr,7563,-74.008039,42.787852,351,Rotterdam,UNKNOWN,No,No,No,No,No,No,"(42.787852, -74.008039)"
Maple Ave & Caroline St (Victorian Stroll Only),12897,,,,Saratoga Springs,CAROLINE STREET,No,No,No,No,No,No,
10th Ave & Congress St,13350,,,810,Schenectady,NINTH AVENUE,No,No,No,No,Yes,No,
Madison Ave & Lark St,3281,-73.767351,42.65229,"114, 115",Albany,DOVE STREET,Yes,Yes,No,No,Yes,No,"(42.65229, -73.767351)"
Nott St & McClellan St,3517,-73.907247,42.817639,"352, 354",Schenectady,VAN CURLER AVENUE,No,No,No,No,Yes,No,"(42.817639, -73.907247)"
Broadway & Lawn Ave,10998,-73.73626,42.67502,"22, 801, 805",Albany,UNKNOWN,No,No,No,No,Yes,No,"(42.67502, -73.73626)"
Market St & Valley View Rd,13292,,,"600, 601",Amsterdam,COOLIDGE ROAD,No,No,No,No,Yes,No,
Whitehall Rd & Picotte Dr,1138,-73.81249,42.65136,"106, 801, 803",Albany,UNKNOWN,No,No,Yes,No,Yes,No,"(42.65136, -73.81249)"
Summit Ave & Van Voast St,11183,-73.94316,42.80699,810,Schenectady,HAMILTON STREET,No,No,No,No,No,No,"(42.80699, -73.94316)"
663 New Loudon Rd (Burger King),1887,-73.762143,42.735538,182,Colonie,UNKNOWN,No,No,No,No,Yes,No,"(42.735538, -73.762143)"
TSP Ontario St @ 787 SB CI,5193,-73.69744294,42.7741176,922,Cohoes,SHANAHAN WAY,No,No,No,No,No,No,"(42.7741176, -73.69744294)"
Serafini Village,385,-73.87695,42.6936,763,Guilderland,UNKNOWN,No,No,No,No,Yes,No,"(42.6936, -73.87695)"
N. Main Ave & Madison Ave,11440,-73.788811,42.664711,805,Albany,MADISON AVENUE,Yes,No,No,No,Yes,No,"(42.664711, -73.788811)"
TSP Broadway @ Emmet Street NB CO,5346,-73.74057552,42.66808581,"922, 923",Albany,UNKNOWN,No,No,No,No,No,No,"(42.66808581, -73.74057552)"
Burden Ave & Cross St,4250,-73.6973,42.70536,"85, 224, 802",Troy,KELLY STREET,No,Yes,Yes,No,Yes,No,"(42.70536, -73.6973)"
Washington Ave & Quail St,3255,-73.77549,42.66375,12,Albany,UNKNOWN,No,No,Yes,No,Yes,No,"(42.66375, -73.77549)"
Kailberg Rd & Wood Ave,12402,-73.91283,42.83291,"351, 810",Schenectady,WOOD AVENUE,No,No,No,No,Yes,No,"(42.83291, -73.91283)"
TSP Second Ave @ Frisbie Avenue SB CI,5297,-73.771706,42.639261,922,Albany,SLINGERLAND STREET,No,No,No,No,No,No,"(42.639261, -73.771706)"
Rt 50 & Worden Rd,2347,-73.94276,42.849855,450,Glenville,AIRPORT ROAD,No,No,No,No,Yes,No,"(42.849855, -73.94276)"
2328 Rt. 50,12892,,,450,Saratoga Springs,UNKNOWN,No,No,No,No,Yes,No,
Central Ave & Cole Ave,2777,-73.86479,42.7457,355,Colonie,PRESCOTT STREET,No,No,No,No,Yes,No,"(42.7457, -73.86479)"
S. Pearl St & Van Zandt St,422,-73.754531,42.646401,"100, 106, 107, 806, 808, 872",Albany,UNKNOWN,No,Yes,Yes,No,Yes,No,"(42.646401, -73.754531)"
Rt 50 & James St,3611,-73.961125,42.826313,"450, 873",Glenville,JOHN STREET,No,No,No,No,Yes,No,"(42.826313, -73.961125)"
Sand Creek Rd & Wilkins Ave,1344,-73.78681,42.69325,125,Colonie,WILKINS AVENUE,No,No,No,No,Yes,No,"(42.69325, -73.78681)"
Main St & Schuyler St,4125,-73.700924,42.768971,182,Cohoes,SCHUYLER STREET,No,No,No,No,Yes,No,"(42.768971, -73.700924)"
Corporate Woods Blvd @ Blue Cross,10369,-73.76566,42.68375,"99, 737",Colonie,UNKNOWN,No,No,Yes,No,Yes,No,"(42.68375, -73.76566)"
400 Old Loudon Rd (Holiday Inn Express),3097,-73.753848,42.761578,182,Colonie,UNKNOWN,No,No,No,No,Yes,No,"(42.761578, -73.753848)"
Delaware Ave & Holland Ave,462,-73.770899,42.646137,"18, 801, 803, 805, 806",Albany,CORTLAND STREET,Yes,No,Yes,No,Yes,No,"(42.646137, -73.770899)"
629 Mt. Hope Dr,10687,-73.765982,42.632116,"107, 801, 803, 805",Albany,UNKNOWN,Yes,No,No,No,Yes,No,"(42.632116, -73.765982)"
Lake Ave & East Ave,11731,-73.771617,43.08411,540,Saratoga Springs,UNKNOWN,No,No,No,No,Yes,No,"(43.08411, -73.771617)"
15th St & Hutton St,12361,-73.675604,42.736313,"289, 802",Troy,EAGLE STREET,No,No,No,No,Yes,No,"(42.736313, -73.675604)"
Madison Ave & Delaware Ave,3421,-73.76725,42.6522,"114, 115",Albany,DOVE STREET,Yes,No,No,No,Yes,No,"(42.6522, -73.76725)"
Albany St & Wilson Ave,13100,,,810,Schenectady,UNKNOWN,No,No,No,No,No,No,
Brevator St & Washington Ave,13430,,,801,Albany,WASHINGTON AVENUE,No,No,No,No,No,No,
2524 Curry Rd,11199,-73.93972,42.76586,763,Rotterdam,FAYETTE DRIVE,No,No,No,No,Yes,No,"(42.76586, -73.93972)"
Henry St & Phila St,12569,,,452,Saratoga Springs,ALLERDICE LANE,No,No,No,No,Yes,No,
Columbia Tpke & Hillview Ave,10877,-73.73768,42.62232,233,East Greenbush,BRUEN COURT,No,No,No,No,Yes,No,"(42.62232, -73.73768)"
Simmons Ave & Wtibeck Ave,12684,,,182,Cohoes,WITBECK AVENUE,No,No,No,No,Yes,No,
5th Ave & 102nd St,4325,-73.68097,42.75628,85,Troy,101ST STREET,No,No,No,No,Yes,No,"(42.75628, -73.68097)"
Nott St & Regent St,3695,-73.89744,42.81607,354,Niskayuna,MYRON STREET,No,No,No,No,Yes,No,"(42.81607, -73.89744)"
E. Main St & Schuyler St,13206,,,"600, 602",Amsterdam,MORRIS STREET,No,No,No,No,Yes,No,
East Ave & Caroline St,12852,,,451,Saratoga Springs,TIPTON LANE,No,No,No,No,No,No,
Sand Creek Rd & Brickley Dr,10539,-73.7939,42.69947,125,Colonie,BRICKLEY DRIVE,No,No,No,No,Yes,No,"(42.69947, -73.7939)"
46 Broadway,109,-73.73344,42.67974,"22, 524",Colonie,UNKNOWN,No,No,No,No,Yes,No,"(42.67974, -73.73344)"
School Rd & Altamont Rd,13443,,,519,New Scotland,UNKNOWN,No,No,No,No,Yes,No,
Planet Fittness,11756,-73.789262,42.601295,107,Bethlehem,UNKNOWN,No,No,No,No,Yes,No,"(42.601295, -73.789262)"
TSP Congress St @ River St SB CO,5230,-73.69460266,42.72915602,"922, 923",Troy,CONGRESS STREET,No,No,No,No,No,No,"(42.72915602, -73.69460266)"
TSP Ontario St @ Remsen St WB CI,5515,-73.70023784,42.77447009,922,Cohoes,MOHAWK STREET,No,No,No,No,No,No,"(42.77447009, -73.70023784)"
Albany Shaker Rd & Danielwood Dr,2593,-73.7802,42.71013,737,Colonie,DANIELWOOD DRIVE,No,No,No,No,Yes,No,"(42.71013, -73.7802)"
TSP South Pearl @ Hamilton St / Market SB CO,5280,-73.75442798,42.64684103,"922, 923",Albany,UNKNOWN,No,No,No,No,No,No,"(42.64684103, -73.75442798)"
Rt 50 & Glenridge Rd,2437,-73.932634,42.868853,450,Glenville,UNKNOWN,No,No,No,No,Yes,No,"(42.868853, -73.932634)"
Rt 4 & Blooming Grove Dr,11127,-73.69323,42.65762,"224, 808",North Greenbush,UNKNOWN,No,No,No,No,Yes,No,"(42.65762, -73.69323)"
Hoosick St & N. Lake Ave,2860,-73.658817,42.739451,"87, 96",Troy,SOUTH LAKE AVENUE,No,Yes,No,No,Yes,No,"(42.739451, -73.658817)"
Kenwood Ave & Grove St,1404,-73.86284,42.629,"519, 872",Bethlehem,UNKNOWN,No,No,No,No,Yes,No,"(42.629, -73.86284)"
Fuller Rd & Warehouse Row,39,-73.82304,42.6989,"117, 190",Colonie,UNKNOWN,No,No,No,No,Yes,No,"(42.6989, -73.82304)"
Washington Ave & Brevator St,3348,-73.80015,42.67798,"12, 114, 712, 803",Albany,UNKNOWN,No,No,No,No,Yes,No,"(42.67798, -73.80015)"
Central Ave & Campbell Dr,2963,-73.86021,42.74177,355,Colonie,MARYLAND AVENUE,No,No,No,No,Yes,No,"(42.74177, -73.86021)"
Morton Ave & Clinton St,3494,-73.75848,42.642035,"100, 805, 806",Albany,CLINTON STREET,No,No,No,No,Yes,No,"(42.642035, -73.75848)"
Adams St & East St,906,-73.74094,42.63783,"114, 214, 808",Rensselaer,THIRD AVENUE,No,No,No,No,Yes,No,"(42.63783, -73.74094)"
3rd St & Adams St,7115,-73.69205,42.72311,"85, 224, 802",Troy,WASHINGTON PLACE,No,No,No,No,Yes,No,"(42.72311, -73.69205)"
19th St & Highland Club Apts,11114,-73.7202,42.73535,370,Colonie,19TH STREET,No,No,No,No,Yes,No,"(42.73535, -73.7202)"
Burdett Ave & Samaritan Hospital,10970,-73.67146,42.73352,"87, 802",Troy,PEOPLES AVENUE,No,Yes,Yes,No,Yes,No,"(42.73352, -73.67146)"
Whitehall Rd & Sard Rd,9025,-73.78757,42.6412,"106, 801, 803, 805, 806",Albany,MCDONALD ROAD,No,No,No,No,Yes,No,"(42.6412, -73.78757)"
Schodack Rd Park & Ride,9002,-73.6723,42.55275,233,Schodack,EAST SCHODACK ROAD,No,Yes,Yes,No,Yes,No,"(42.55275, -73.6723)"
Columbia Tpke & Elmwood Ave,10924,,,233,East Greenbush,ELMWOOD DRIVE,No,No,No,No,Yes,No,
Frank St & Albany St,13335,,,810,Schenectady,UNKNOWN,No,No,No,No,Yes,No,
TSP Ontario ST @ Delaware Ave/ Railroad Dr SB CO,5198,-73.68408575,42.77219337,922,Cohoes,UNKNOWN,No,No,No,No,No,No,"(42.77219337, -73.68408575)"
TSP Second Ave @ 116th St NB CI,5540,-73.67713605,42.77483519,923,Troy,UNKNOWN,No,No,No,No,No,No,"(42.77483519, -73.67713605)"
TSP Congress St @ 2nd St SB CI,5225,-73.69097779,42.72883055,"922, 923",Troy,UNKNOWN,No,No,No,No,No,No,"(42.72883055, -73.69097779)"
New Scotland Rd & O'Neil Rd,1016,-73.82136,42.653568,"13, 803, 805, 806",Albany,O'NEIL ROAD,No,No,No,No,Yes,No,"(42.653568, -73.82136)"
Van Vranken Ave & Seneca St,11276,-73.92296,42.82585,"351, 810, 998",Schenectady,MASON STREET,No,No,No,No,Yes,No,"(42.82585, -73.92296)"
Clinton Ave & Partridge St,10341,,,"125, 805",Albany,PARTRIDGE STREET,No,No,No,No,Yes,No,
TSP South Pearl @ Second Ave EB CO,5314,-73.760192,42.6369,922,Albany,UNKNOWN,No,No,No,No,No,No,"(42.6369, -73.760192)"
Whitehall Rd & Betwood St,1069,-73.79547,42.64525,"106, 801, 805, 806",Albany,BETWOOD STREET,No,No,No,No,Yes,No,"(42.64525, -73.79547)"
Cherry Ave & Orchard St,11527,-73.8552,42.62466,"18, 519",Bethlehem,ORCHARD STREET,No,No,No,No,Yes,No,"(42.62466, -73.8552)"
Livingston Ave & Pennsylvania Ave,2022,-73.76009,42.6645,"100, 106, 801, 803, 805, 872",Albany,PENNSYLVANIA AVENUE,No,No,No,No,Yes,No,"(42.6645, -73.76009)"
TSP River St @ Bond St SB CI,5205,-73.68254118,42.7519023,"922, 923",Troy,UNKNOWN,No,No,No,No,No,No,"(42.7519023, -73.68254118)"
Rt 50 & Meadowbrook Ct,12799,-73.863555,42.966941,450,Ballston,UNKNOWN,No,No,No,No,Yes,No,"(42.966941, -73.863555)"
McClellan St & Grand Blvd,12462,-73.90766,42.81573,352,Schenectady,UNKNOWN,No,No,No,No,Yes,No,"(42.81573, -73.90766)"
Altamont Ave & DeWitt Ave,11230,-73.93715,42.79004,"352, 810",Schenectady,VAN CORTLAND STREET,No,No,No,No,Yes,No,"(42.79004, -73.93715)"
Miami Ave & Midline Rd,13271,,,"600, 601",Amsterdam,MIDLINE ROAD,No,No,No,No,Yes,No,
TSP 8th ST @ Broadway NB CO,5368,-73.70350408,42.71617906,"922, 923",Watervliet,3RD AVENUE,No,No,No,No,No,No,"(42.71617906, -73.70350408)"
Arch St & Paine St,11030,-73.691877,42.745905,182,Green Island,GEORGE STREET,No,No,No,No,Yes,No,"(42.745905, -73.691877)"
Clizbe Ave & Regina Ln,13265,,,600,Amsterdam,VIRGINIA LANE,No,No,No,No,Yes,No,
Union St & McClellan St,1512,-73.91258,42.80799,370,Schenectady,MCCLELLAN STREET,No,No,No,No,Yes,No,"(42.80799, -73.91258)"
Hamilton Square (20 Mall),10604,-73.894462,42.698368,763,Guilderland,UNKNOWN,No,No,Yes,No,Yes,No,"(42.698368, -73.894462)"
3rd Ave & Washington St,11419,-73.7449,42.63909,"214, 808",Rensselaer,WASHINGTON STREET,No,No,No,No,Yes,No,"(42.63909, -73.7449)"
444 Broadway,101,-73.71696,42.70131,22,Colonie,UNKNOWN,No,No,Yes,No,Yes,No,"(42.70131, -73.71696)"
629 Albany Shaker Rd (William K. Sanford Library),10856,-73.792377,42.725362,737,Colonie,UNKNOWN,No,No,No,No,Yes,No,"(42.725362, -73.792377)"
TSP Broadway @ Menand Rd NB CI,5357,-73.72392811,42.69261906,"922, 923",Colonie,UNKNOWN,No,No,No,No,No,No,"(42.69261906, -73.72392811)"
15th St & Congress St,4354,-73.67944,42.72305,"286, 802",Troy,UNKNOWN,No,No,No,No,Yes,No,"(42.72305, -73.67944)"
State St & Clinton St,10230,-73.940404,42.811963,"351, 353, 354, 355, 370, 602",Schenectady,BARRETT STREET,No,No,No,No,Yes,No,"(42.811963, -73.940404)"
Bethlehem Public Library,12830,-73.841239,42.619107,18,Bethlehem,DELAWARE AVENUE,No,No,No,No,Yes,No,"(42.619107, -73.841239)"
Lakeview Ave & Chrisler Ave,12471,,,353,Schenectady,CHRISLER AVENUE,No,No,No,No,Yes,No,
3rd St & Vanburen St,4260,-73.69402,42.71447,"85, 224, 802",Troy,UNKNOWN,No,No,No,No,Yes,No,"(42.71447, -73.69402)"
Broadway & N. Lawrence St,7144,-73.74605,42.65979,"22, 805, 806",Albany,UNKNOWN,No,No,No,No,Yes,No,"(42.65979, -73.74605)"
TSP South Pearl @ Arch St NB CI,5321,-73.756618,42.642144,"922, 923",Albany,ARCH STREET,No,No,No,No,No,No,"(42.642144, -73.756618)"
Manor Ave & Cottage Ave,44,-73.71758,42.78652,522,Cohoes,WILLIAMS STREET,No,No,No,No,Yes,No,"(42.78652, -73.71758)"
Main Ave & Hannaford Ct,4343,-73.649376,42.697806,286,North Greenbush,UNKNOWN,No,No,No,No,Yes,No,"(42.697806, -73.649376)"
Erie St & Lower Minaville St,13318,,,601,Amsterdam,MINAVILLE STREET,No,No,No,No,Yes,No,
Market St & Pearl St (MVP Arena),10813,-73.754579,42.647697,"214, 233",Albany,SOUTH PEARL STREET,No,No,No,No,Yes,No,"(42.647697, -73.754579)"
Rt 50 & Forrest Rd,2318,-73.88642,42.92035,450,Ballston,FOREST ROAD,No,No,No,No,Yes,No,"(42.92035, -73.88642)"
Frontage Rd & Pitch Pine Rd,13415,,,803,Albany,UNKNOWN,No,No,No,No,No,No,
River St & Vanderheyden St,785,-73.68553,42.74074,802,Troy,UNKNOWN,No,No,No,No,Yes,No,"(42.74074, -73.68553)"
Rt 9W & McCarty Ave,13017,,,"801, 805",Albany,UNKNOWN,No,No,No,No,Yes,No,
Delaware Ave & Cherry Ave,1316,-73.85178,42.61541,18,Bethlehem,UNKNOWN,No,No,No,No,Yes,No,"(42.61541, -73.85178)"
